id,created_at,load_type,volt,frequency,power_factor,current,power,energy
30,2023-07-10T18:19:21+00:00,Nova hair dryer,242.3,49.9,0.88,0.61,130.6,0.17
31,2023-07-10T18:19:24+00:00,Orpat Cordless kettle,242.5,49.9,0.04,0.05,0.5,0.12
32,2023-07-10T18:19:24+00:00,Nova hair dryer,242.6,49.9,0.89,0.61,130.8,0.17
33,2023-07-10T18:19:26+00:00,Orpat Cordless kettle,242.4,49.9,0.05,0.05,0.6,0.12
34,2023-07-10T18:19:26+00:00,Nova hair dryer,242.6,50.0,0.89,0.61,130.7,0.17
35,2023-07-10T18:19:28+00:00,Orpat Cordless kettle,242.6,50.0,0.04,0.05,0.5,0.12
36,2023-07-10T18:19:28+00:00,Nova hair dryer,242.8,49.9,0.88,0.61,130.9,0.17
37,2023-07-10T18:19:30+00:00,Orpat Cordless kettle,242.7,49.9,0.04,0.05,0.5,0.12
38,2023-07-10T18:19:30+00:00,Nova hair dryer,242.8,50.0,0.88,0.62,131.0,0.17
39,2023-07-10T18:19:32+00:00,Orpat Cordless kettle,242.6,49.9,0.04,0.05,0.5,0.12
40,2023-07-10T18:19:32+00:00,Nova hair dryer,242.7,49.9,0.87,0.62,131.0,0.17
41,2023-07-10T18:19:34+00:00,Orpat Cordless kettle,242.6,49.9,0.05,0.05,0.6,0.12
42,2023-07-10T18:19:34+00:00,Nova hair dryer,242.7,49.9,0.87,0.62,131.0,0.17
43,2023-07-10T18:19:36+00:00,Orpat Cordless kettle,242.6,49.9,0.04,0.05,0.5,0.12
44,2023-07-10T18:19:36+00:00,Nova hair dryer,242.7,49.9,0.88,0.62,131.0,0.17
45,2023-07-10T18:19:38+00:00,Orpat Cordless kettle,240.8,49.9,0.93,3.32,747.5,0.12
46,2023-07-10T18:19:38+00:00,Nova hair dryer,240.9,49.9,0.88,0.61,129.9,0.17
1218,2023-07-10T19:14:47+00:00,2.4 AMP Mobile charger,234.2,50.0,0.41,0.1,9.4,0.19
1216,2023-07-10T19:14:45+00:00,2.4 AMP Mobile charger,234.2,50.0,0.41,0.1,9.5,0.19
1226,2023-07-10T19:15:01+00:00,2.4 AMP Mobile charger,238.1,50.0,0.15,0.06,2.1,0.19
1224,2023-07-10T19:14:53+00:00,2.4 AMP Mobile charger,234.9,50.0,0.41,0.1,9.4,0.19
47,2023-07-10T18:19:40+00:00,Orpat Cordless kettle,239.4,49.9,1.0,5.99,1433.4,0.12
48,2023-07-10T18:19:40+00:00,Nova hair dryer,239.6,49.9,0.89,0.61,129.1,0.17
49,2023-07-10T18:19:42+00:00,Orpat Cordless kettle,240.6,50.0,1.0,3.84,945.8,0.12
50,2023-07-10T18:19:42+00:00,Nova hair dryer,240.8,50.0,0.89,0.61,129.8,0.17
51,2023-07-10T18:19:44+00:00,Orpat Cordless kettle,241.4,49.9,0.87,1.68,351.2,0.12
52,2023-07-10T18:19:44+00:00,Nova hair dryer,241.5,50.0,0.89,0.61,130.2,0.17
53,2023-07-10T18:19:46+00:00,Orpat Cordless kettle,238.8,50.0,1.0,5.98,1426.9,0.12
54,2023-07-10T18:19:46+00:00,Nova hair dryer,239.0,49.9,0.88,0.61,128.7,0.17
55,2023-07-10T18:19:48+00:00,Orpat Cordless kettle,239.0,50.0,1.0,5.96,1425.4,0.12
56,2023-07-10T18:19:48+00:00,Nova hair dryer,239.2,49.9,0.88,0.61,128.9,0.17
57,2023-07-10T18:19:50+00:00,Orpat Cordless kettle,239.2,49.9,1.0,5.96,1426.0,0.12
58,2023-07-10T18:19:50+00:00,Nova hair dryer,239.4,50.0,0.88,0.61,129.0,0.17
59,2023-07-10T18:19:52+00:00,Orpat Cordless kettle,239.2,49.9,1.0,5.95,1423.8,0.12
60,2023-07-10T18:19:52+00:00,Nova hair dryer,239.4,50.0,0.88,0.61,128.9,0.17
61,2023-07-10T18:19:54+00:00,Orpat Cordless kettle,239.1,49.9,1.0,5.95,1422.4,0.12
62,2023-07-10T18:19:54+00:00,Nova hair dryer,239.3,50.0,0.88,0.61,128.8,0.17
63,2023-07-10T18:19:56+00:00,Orpat Cordless kettle,239.1,49.9,1.0,5.95,1421.7,0.12
64,2023-07-10T18:19:56+00:00,Nova hair dryer,239.3,49.9,0.88,0.61,128.9,0.17
65,2023-07-10T18:19:58+00:00,Orpat Cordless kettle,239.1,50.0,1.0,5.95,1421.3,0.12
66,2023-07-10T18:19:58+00:00,Nova hair dryer,239.3,50.0,0.88,0.61,129.0,0.17
67,2023-07-10T18:20:00+00:00,Orpat Cordless kettle,239.2,50.0,1.0,5.95,1422.1,0.12
68,2023-07-10T18:20:00+00:00,Nova hair dryer,239.4,50.0,0.88,0.61,129.0,0.17
69,2023-07-10T18:20:02+00:00,Orpat Cordless kettle,239.3,50.0,1.0,5.95,1422.7,0.12
70,2023-07-10T18:20:02+00:00,Nova hair dryer,239.4,50.0,0.89,0.61,129.1,0.17
71,2023-07-10T18:20:04+00:00,Orpat Cordless kettle,240.6,49.9,1.0,3.8,938.2,0.12
72,2023-07-10T18:20:04+00:00,Nova hair dryer,240.8,49.9,0.89,0.61,129.9,0.17
73,2023-07-10T18:20:06+00:00,Orpat Cordless kettle,242.7,49.9,0.04,0.05,0.5,0.12
74,2023-07-10T18:20:06+00:00,Nova hair dryer,242.8,50.0,0.88,0.61,131.0,0.17
75,2023-07-10T18:20:08+00:00,Orpat Cordless kettle,242.7,49.9,0.04,0.05,0.5,0.12
76,2023-07-10T18:20:08+00:00,Nova hair dryer,242.8,49.9,0.88,0.61,130.9,0.17
77,2023-07-10T18:20:10+00:00,Orpat Cordless kettle,242.7,49.9,0.05,0.05,0.6,0.12
78,2023-07-10T18:20:10+00:00,Nova hair dryer,242.8,49.9,0.88,0.62,130.9,0.17
79,2023-07-10T18:20:12+00:00,Orpat Cordless kettle,242.7,49.9,0.04,0.05,0.5,0.12
80,2023-07-10T18:20:12+00:00,Nova hair dryer,242.8,49.9,0.87,0.62,130.9,0.17
81,2023-07-10T18:20:14+00:00,Orpat Cordless kettle,242.7,49.9,0.04,0.05,0.5,0.12
82,2023-07-10T18:20:14+00:00,Nova hair dryer,242.8,50.0,0.88,0.62,130.9,0.17
83,2023-07-10T18:20:16+00:00,Orpat Cordless kettle,242.7,50.0,0.04,0.05,0.5,0.12
84,2023-07-10T18:20:16+00:00,Nova hair dryer,242.8,49.9,0.88,0.61,131.0,0.17
85,2023-07-10T18:20:18+00:00,Orpat Cordless kettle,242.7,50.0,0.05,0.05,0.6,0.12
86,2023-07-10T18:20:18+00:00,Nova hair dryer,242.8,49.9,0.88,0.61,131.0,0.17
87,2023-07-10T18:20:20+00:00,Orpat Cordless kettle,242.6,49.9,0.05,0.05,0.6,0.12
88,2023-07-10T18:20:20+00:00,Nova hair dryer,242.7,49.9,0.89,0.61,130.9,0.17
89,2023-07-10T18:20:22+00:00,Orpat Cordless kettle,242.5,50.0,0.04,0.05,0.5,0.12
90,2023-07-10T18:20:22+00:00,Nova hair dryer,242.6,50.0,0.89,0.61,130.7,0.17
91,2023-07-10T18:20:24+00:00,Orpat Cordless kettle,242.5,49.9,0.04,0.05,0.5,0.12
92,2023-07-10T18:20:24+00:00,Nova hair dryer,242.6,49.9,0.88,0.61,130.8,0.17
93,2023-07-10T18:20:26+00:00,Orpat Cordless kettle,242.4,50.0,0.04,0.05,0.5,0.12
94,2023-07-10T18:20:26+00:00,Nova hair dryer,242.5,50.0,0.88,0.61,130.7,0.17
95,2023-07-10T18:20:28+00:00,Orpat Cordless kettle,242.4,50.0,0.04,0.05,0.5,0.12
96,2023-07-10T18:20:28+00:00,Nova hair dryer,242.5,50.0,0.87,0.62,130.7,0.17
97,2023-07-10T18:20:30+00:00,Orpat Cordless kettle,242.4,49.9,0.04,0.05,0.5,0.12
98,2023-07-10T18:20:30+00:00,Nova hair dryer,242.5,49.9,0.87,0.62,130.7,0.17
99,2023-07-10T18:20:32+00:00,Orpat Cordless kettle,242.4,50.0,0.04,0.05,0.5,0.12
100,2023-07-10T18:20:32+00:00,Nova hair dryer,242.5,50.0,0.87,0.62,130.6,0.17
101,2023-07-10T18:20:34+00:00,Orpat Cordless kettle,242.4,49.9,0.04,0.05,0.5,0.12
102,2023-07-10T18:20:34+00:00,Nova hair dryer,242.5,50.0,0.88,0.62,130.8,0.17
103,2023-07-10T18:20:36+00:00,Orpat Cordless kettle,242.6,49.9,0.04,0.05,0.5,0.12
104,2023-07-10T18:20:36+00:00,Nova hair dryer,242.7,50.0,0.88,0.61,130.8,0.17
105,2023-07-10T18:20:38+00:00,Orpat Cordless kettle,242.5,50.0,0.05,0.05,0.6,0.12
106,2023-07-10T18:20:38+00:00,Nova hair dryer,242.6,50.0,0.88,0.61,130.8,0.17
107,2023-07-10T18:20:40+00:00,Orpat Cordless kettle,242.5,49.9,0.04,0.05,0.5,0.12
108,2023-07-10T18:20:40+00:00,Nova hair dryer,242.6,50.0,0.88,0.61,130.8,0.17
109,2023-07-10T18:20:42+00:00,Orpat Cordless kettle,242.5,50.0,0.04,0.05,0.5,0.12
110,2023-07-10T18:20:42+00:00,Nova hair dryer,242.6,49.9,0.88,0.61,130.9,0.17
111,2023-07-10T18:20:45+00:00,Orpat Cordless kettle,242.3,50.0,0.04,0.05,0.5,0.12
112,2023-07-10T18:20:45+00:00,Nova hair dryer,242.4,50.0,0.88,0.61,130.7,0.17
113,2023-07-10T18:20:47+00:00,Orpat Cordless kettle,242.3,50.0,0.05,0.05,0.6,0.12
114,2023-07-10T18:20:47+00:00,Nova hair dryer,242.4,50.0,0.88,0.61,130.6,0.17
115,2023-07-10T18:20:49+00:00,Orpat Cordless kettle,242.3,49.9,0.04,0.05,0.5,0.12
116,2023-07-10T18:20:49+00:00,Nova hair dryer,242.4,50.0,0.88,0.61,130.6,0.17
117,2023-07-10T18:20:51+00:00,Orpat Cordless kettle,242.4,50.0,0.05,0.05,0.6,0.12
118,2023-07-10T18:20:51+00:00,Nova hair dryer,242.5,50.0,0.89,0.61,130.8,0.17
119,2023-07-10T18:20:53+00:00,Orpat Cordless kettle,242.5,49.9,0.05,0.05,0.6,0.12
120,2023-07-10T18:20:53+00:00,Nova hair dryer,242.6,50.0,0.89,0.61,130.8,0.17
121,2023-07-10T18:20:55+00:00,Orpat Cordless kettle,242.5,50.0,0.04,0.05,0.5,0.12
122,2023-07-10T18:20:55+00:00,Nova hair dryer,242.6,50.0,0.89,0.61,130.9,0.17
123,2023-07-10T18:20:57+00:00,Orpat Cordless kettle,242.7,50.0,0.04,0.05,0.5,0.12
124,2023-07-10T18:20:57+00:00,Nova hair dryer,242.8,50.0,0.88,0.61,131.0,0.17
125,2023-07-10T18:20:59+00:00,Orpat Cordless kettle,242.7,50.0,0.04,0.05,0.5,0.12
126,2023-07-10T18:20:59+00:00,Nova hair dryer,242.8,50.0,0.88,0.61,131.0,0.17
127,2023-07-10T18:21:01+00:00,Orpat Cordless kettle,242.7,49.9,0.04,0.05,0.5,0.12
128,2023-07-10T18:21:01+00:00,Nova hair dryer,242.9,50.0,0.88,0.61,131.1,0.17
129,2023-07-10T18:21:03+00:00,Orpat Cordless kettle,242.9,50.0,0.05,0.05,0.6,0.12
130,2023-07-10T18:21:03+00:00,Nova hair dryer,243.0,50.0,0.88,0.61,131.2,0.17
131,2023-07-10T18:21:05+00:00,Orpat Cordless kettle,242.5,50.0,0.04,0.05,0.5,0.12
132,2023-07-10T18:21:05+00:00,Nova hair dryer,242.7,50.0,0.88,0.61,130.9,0.17
133,2023-07-10T18:21:07+00:00,Orpat Cordless kettle,242.6,50.0,0.04,0.05,0.5,0.12
134,2023-07-10T18:21:07+00:00,Nova hair dryer,242.7,50.0,0.88,0.61,130.9,0.17
135,2023-07-10T18:21:09+00:00,Orpat Cordless kettle,242.9,50.0,0.05,0.05,0.6,0.12
136,2023-07-10T18:21:09+00:00,Nova hair dryer,243.0,50.0,0.88,0.61,131.2,0.17
137,2023-07-10T18:21:11+00:00,Orpat Cordless kettle,243.0,50.0,0.05,0.05,0.6,0.12
138,2023-07-10T18:21:11+00:00,Nova hair dryer,243.1,50.0,0.88,0.61,131.3,0.17
139,2023-07-10T18:21:13+00:00,Orpat Cordless kettle,243.0,50.0,0.04,0.05,0.5,0.12
140,2023-07-10T18:21:13+00:00,Nova hair dryer,243.1,50.0,0.88,0.61,131.3,0.17
141,2023-07-10T18:21:15+00:00,Orpat Cordless kettle,242.9,50.0,0.05,0.05,0.6,0.12
142,2023-07-10T18:21:15+00:00,Nova hair dryer,243.0,50.0,0.88,0.61,131.2,0.17
143,2023-07-10T18:21:17+00:00,Orpat Cordless kettle,243.1,50.0,0.04,0.05,0.5,0.12
144,2023-07-10T18:21:17+00:00,Nova hair dryer,243.2,50.0,0.88,0.61,131.4,0.17
145,2023-07-10T18:21:19+00:00,Orpat Cordless kettle,243.1,50.0,0.05,0.05,0.6,0.12
146,2023-07-10T18:21:19+00:00,Nova hair dryer,243.2,50.0,0.88,0.61,131.4,0.17
147,2023-07-10T18:21:21+00:00,Orpat Cordless kettle,242.9,50.0,0.04,0.05,0.5,0.12
148,2023-07-10T18:21:21+00:00,Nova hair dryer,243.0,50.0,0.89,0.61,131.2,0.17
149,2023-07-10T18:21:23+00:00,Orpat Cordless kettle,242.8,50.0,0.05,0.05,0.6,0.12
150,2023-07-10T18:21:23+00:00,Nova hair dryer,242.9,50.0,0.88,0.61,131.1,0.17
151,2023-07-10T18:21:25+00:00,Orpat Cordless kettle,243.0,50.0,0.04,0.05,0.5,0.12
152,2023-07-10T18:21:25+00:00,Nova hair dryer,243.1,50.0,0.88,0.61,131.2,0.17
153,2023-07-10T18:21:27+00:00,Orpat Cordless kettle,243.0,50.0,0.04,0.05,0.5,0.12
154,2023-07-10T18:21:27+00:00,Nova hair dryer,243.1,50.0,0.88,0.61,131.3,0.17
155,2023-07-10T18:21:29+00:00,Orpat Cordless kettle,243.0,50.0,0.04,0.05,0.5,0.12
156,2023-07-10T18:21:29+00:00,Nova hair dryer,243.1,50.0,0.88,0.61,131.3,0.17
157,2023-07-10T18:21:31+00:00,Orpat Cordless kettle,242.9,50.0,0.05,0.05,0.6,0.12
158,2023-07-10T18:21:31+00:00,Nova hair dryer,243.1,50.0,0.88,0.61,131.3,0.17
159,2023-07-10T18:21:33+00:00,Orpat Cordless kettle,242.7,50.0,0.05,0.05,0.6,0.12
160,2023-07-10T18:21:33+00:00,Nova hair dryer,242.9,50.0,0.88,0.62,131.1,0.17
161,2023-07-10T18:21:35+00:00,Orpat Cordless kettle,242.9,50.0,0.04,0.05,0.5,0.12
162,2023-07-10T18:21:35+00:00,Nova hair dryer,243.0,50.0,0.88,0.62,131.2,0.17
163,2023-07-10T18:21:37+00:00,Orpat Cordless kettle,242.8,50.0,0.04,0.05,0.5,0.12
164,2023-07-10T18:21:37+00:00,Nova hair dryer,243.0,50.0,0.88,0.62,131.2,0.17
165,2023-07-10T18:21:39+00:00,Orpat Cordless kettle,242.8,50.0,0.04,0.05,0.5,0.12
166,2023-07-10T18:21:39+00:00,Nova hair dryer,242.9,50.0,0.88,0.62,131.2,0.17
167,2023-07-10T18:21:41+00:00,Orpat Cordless kettle,242.7,50.0,0.05,0.05,0.6,0.12
168,2023-07-10T18:21:41+00:00,Nova hair dryer,242.8,50.0,0.87,0.62,131.0,0.17
169,2023-07-10T18:21:43+00:00,Orpat Cordless kettle,242.6,50.0,0.04,0.05,0.5,0.12
170,2023-07-10T18:21:43+00:00,Nova hair dryer,242.7,50.0,0.87,0.62,131.0,0.17
171,2023-07-10T18:21:45+00:00,Orpat Cordless kettle,242.5,50.0,0.05,0.05,0.6,0.12
172,2023-07-10T18:21:45+00:00,Nova hair dryer,242.6,50.0,0.87,0.62,130.9,0.17
173,2023-07-10T18:21:47+00:00,Orpat Cordless kettle,242.6,50.0,0.05,0.05,0.6,0.12
174,2023-07-10T18:21:47+00:00,Nova hair dryer,242.7,50.0,0.88,0.62,130.9,0.17
175,2023-07-10T18:21:49+00:00,Orpat Cordless kettle,242.4,50.0,0.05,0.05,0.6,0.12
176,2023-07-10T18:21:49+00:00,Nova hair dryer,242.5,50.0,0.88,0.61,130.7,0.17
177,2023-07-10T18:21:51+00:00,Orpat Cordless kettle,241.1,50.0,0.9,2.22,482.2,0.13
178,2023-07-10T18:21:51+00:00,Nova hair dryer,241.2,50.0,0.88,0.61,130.1,0.17
179,2023-07-10T18:21:53+00:00,Orpat Cordless kettle,239.1,50.0,1.0,5.98,1430.6,0.13
180,2023-07-10T18:21:53+00:00,Nova hair dryer,239.3,50.0,0.89,0.61,129.0,0.17
181,2023-07-10T18:21:55+00:00,Orpat Cordless kettle,239.4,50.0,1.0,5.99,1432.5,0.13
182,2023-07-10T18:21:55+00:00,Nova hair dryer,239.6,50.0,0.89,0.61,129.3,0.17
183,2023-07-10T18:21:57+00:00,Orpat Cordless kettle,239.5,50.0,1.0,5.97,1430.7,0.13
184,2023-07-10T18:21:57+00:00,Nova hair dryer,239.7,50.0,0.88,0.61,129.4,0.17
185,2023-07-10T18:22:00+00:00,Orpat Cordless kettle,239.5,50.0,1.0,5.97,1429.2,0.13
186,2023-07-10T18:22:00+00:00,Nova hair dryer,239.7,50.0,0.88,0.61,129.3,0.17
187,2023-07-10T18:22:02+00:00,Orpat Cordless kettle,239.5,50.0,1.0,5.96,1426.5,0.13
188,2023-07-10T18:22:02+00:00,Nova hair dryer,239.8,50.0,0.88,0.61,129.4,0.17
189,2023-07-10T18:22:04+00:00,Orpat Cordless kettle,239.5,50.0,1.0,5.96,1426.4,0.13
190,2023-07-10T18:22:04+00:00,Nova hair dryer,239.7,50.0,0.88,0.61,129.4,0.17
191,2023-07-10T18:22:06+00:00,Orpat Cordless kettle,239.4,50.0,1.0,5.95,1424.5,0.13
192,2023-07-10T18:22:06+00:00,Nova hair dryer,239.6,50.0,0.88,0.61,129.3,0.17
193,2023-07-10T18:22:08+00:00,Orpat Cordless kettle,239.4,50.0,1.0,5.95,1424.8,0.13
194,2023-07-10T18:22:08+00:00,Nova hair dryer,239.6,50.0,0.89,0.61,129.3,0.17
195,2023-07-10T18:22:10+00:00,Orpat Cordless kettle,239.3,50.0,1.0,5.95,1422.9,0.13
196,2023-07-10T18:22:10+00:00,Nova hair dryer,239.5,50.0,0.89,0.61,129.1,0.17
197,2023-07-10T18:22:12+00:00,Orpat Cordless kettle,239.3,50.0,1.0,5.95,1423.0,0.13
198,2023-07-10T18:22:12+00:00,Nova hair dryer,239.6,50.0,0.88,0.61,129.2,0.17
199,2023-07-10T18:22:14+00:00,Orpat Cordless kettle,239.2,50.0,1.0,5.94,1421.5,0.13
200,2023-07-10T18:22:14+00:00,Nova hair dryer,239.5,50.0,0.88,0.61,129.1,0.17
201,2023-07-10T18:22:16+00:00,Orpat Cordless kettle,239.2,50.0,1.0,5.94,1420.2,0.13
202,2023-07-10T18:22:16+00:00,Nova hair dryer,239.4,50.0,0.88,0.61,129.1,0.17
203,2023-07-10T18:22:18+00:00,Orpat Cordless kettle,239.3,50.0,1.0,5.94,1420.8,0.14
204,2023-07-10T18:22:18+00:00,Nova hair dryer,239.5,50.0,0.88,0.61,129.2,0.17
205,2023-07-10T18:22:20+00:00,Orpat Cordless kettle,239.3,50.0,1.0,5.94,1420.9,0.14
206,2023-07-10T18:22:20+00:00,Nova hair dryer,239.5,50.0,0.88,0.61,129.2,0.17
207,2023-07-10T18:22:22+00:00,Orpat Cordless kettle,239.3,50.0,1.0,5.94,1421.0,0.14
208,2023-07-10T18:22:22+00:00,Nova hair dryer,239.5,50.0,0.89,0.61,129.2,0.17
209,2023-07-10T18:22:24+00:00,Orpat Cordless kettle,239.3,50.0,1.0,5.94,1421.3,0.14
210,2023-07-10T18:22:24+00:00,Nova hair dryer,239.5,50.0,0.89,0.61,129.2,0.17
211,2023-07-10T18:22:26+00:00,Orpat Cordless kettle,239.7,50.0,1.0,5.95,1425.4,0.14
212,2023-07-10T18:22:26+00:00,Nova hair dryer,239.9,50.0,0.88,0.61,129.6,0.17
213,2023-07-10T18:22:28+00:00,Orpat Cordless kettle,239.8,50.0,1.0,5.95,1426.0,0.14
214,2023-07-10T18:22:28+00:00,Nova hair dryer,240.2,50.0,0.88,0.62,129.9,0.17
215,2023-07-10T18:22:30+00:00,Orpat Cordless kettle,240.0,50.0,1.0,5.95,1427.5,0.14
216,2023-07-10T18:22:30+00:00,Nova hair dryer,240.2,50.0,0.88,0.62,129.9,0.17
217,2023-07-10T18:22:32+00:00,Orpat Cordless kettle,240.0,50.0,1.0,5.95,1427.8,0.14
218,2023-07-10T18:22:32+00:00,Nova hair dryer,240.2,50.0,0.88,0.61,129.9,0.17
219,2023-07-10T18:22:34+00:00,Orpat Cordless kettle,240.2,50.0,1.0,5.96,1431.0,0.14
220,2023-07-10T18:22:34+00:00,Nova hair dryer,240.4,50.0,0.89,0.61,130.1,0.17
221,2023-07-10T18:22:36+00:00,Orpat Cordless kettle,240.1,50.0,1.0,5.96,1430.6,0.14
222,2023-07-10T18:22:36+00:00,Nova hair dryer,240.3,50.0,0.88,0.61,130.1,0.17
223,2023-07-10T18:22:38+00:00,Orpat Cordless kettle,239.9,50.0,1.0,5.95,1427.4,0.14
224,2023-07-10T18:22:38+00:00,Nova hair dryer,240.1,50.0,0.88,0.62,129.8,0.17
225,2023-07-10T18:22:40+00:00,Orpat Cordless kettle,239.9,50.0,1.0,5.95,1428.2,0.14
226,2023-07-10T18:22:40+00:00,Nova hair dryer,240.1,50.0,0.88,0.62,129.8,0.17
227,2023-07-10T18:22:42+00:00,Orpat Cordless kettle,239.9,50.0,1.0,5.95,1428.2,0.14
228,2023-07-10T18:22:42+00:00,Nova hair dryer,240.1,50.0,0.88,0.62,129.8,0.17
229,2023-07-10T18:22:44+00:00,Orpat Cordless kettle,240.0,50.0,1.0,5.96,1429.1,0.15
230,2023-07-10T18:22:44+00:00,Nova hair dryer,240.2,50.0,0.89,0.61,129.8,0.17
231,2023-07-10T18:22:46+00:00,Orpat Cordless kettle,239.9,50.0,1.0,5.95,1428.0,0.15
232,2023-07-10T18:22:46+00:00,Nova hair dryer,240.1,50.0,0.89,0.61,129.8,0.17
233,2023-07-10T18:22:48+00:00,Orpat Cordless kettle,240.0,50.0,1.0,5.95,1428.2,0.15
234,2023-07-10T18:22:48+00:00,Nova hair dryer,240.2,50.0,0.88,0.61,129.8,0.17
235,2023-07-10T18:22:50+00:00,Orpat Cordless kettle,240.0,50.0,1.0,5.96,1429.6,0.15
236,2023-07-10T18:22:50+00:00,Nova hair dryer,240.2,50.0,0.88,0.62,129.9,0.17
237,2023-07-10T18:22:52+00:00,Orpat Cordless kettle,239.9,50.0,1.0,5.95,1427.7,0.15
238,2023-07-10T18:22:52+00:00,Nova hair dryer,240.1,50.0,0.88,0.62,129.8,0.17
239,2023-07-10T18:22:54+00:00,Orpat Cordless kettle,239.7,50.0,1.0,5.95,1424.9,0.15
240,2023-07-10T18:22:54+00:00,Nova hair dryer,239.9,50.0,0.88,0.61,129.6,0.17
241,2023-07-10T18:22:56+00:00,Orpat Cordless kettle,243.0,50.0,0.05,0.05,0.6,0.15
242,2023-07-10T18:22:56+00:00,Nova hair dryer,243.1,50.0,0.88,0.61,131.2,0.17
243,2023-07-10T18:22:58+00:00,Orpat Cordless kettle,243.1,50.0,0.05,0.05,0.6,0.15
244,2023-07-10T18:22:58+00:00,Nova hair dryer,243.2,50.0,0.88,0.61,131.5,0.17
245,2023-07-10T18:23:00+00:00,Orpat Cordless kettle,243.1,50.0,0.04,0.05,0.5,0.15
246,2023-07-10T18:23:00+00:00,Nova hair dryer,243.1,50.0,0.88,0.61,131.3,0.17
247,2023-07-10T18:23:02+00:00,Orpat Cordless kettle,243.0,50.0,0.04,0.05,0.5,0.15
248,2023-07-10T18:23:02+00:00,Nova hair dryer,243.1,50.0,0.88,0.62,131.3,0.17
249,2023-07-10T18:23:04+00:00,Orpat Cordless kettle,243.0,50.0,0.05,0.05,0.6,0.15
250,2023-07-10T18:23:04+00:00,Nova hair dryer,243.1,50.0,0.88,0.62,131.3,0.17
251,2023-07-10T18:23:07+00:00,Orpat Cordless kettle,243.1,50.0,0.04,0.05,0.5,0.15
252,2023-07-10T18:23:07+00:00,Nova hair dryer,243.2,50.0,0.87,0.62,131.4,0.17
253,2023-07-10T18:23:09+00:00,Orpat Cordless kettle,243.2,50.0,0.04,0.05,0.5,0.15
254,2023-07-10T18:23:09+00:00,Nova hair dryer,243.3,50.0,0.88,0.62,131.5,0.17
255,2023-07-10T18:23:11+00:00,Orpat Cordless kettle,243.1,50.0,0.04,0.05,0.5,0.15
256,2023-07-10T18:23:11+00:00,Nova hair dryer,243.2,50.0,0.88,0.61,131.4,0.17
257,2023-07-10T18:23:13+00:00,Orpat Cordless kettle,242.9,50.0,0.04,0.05,0.5,0.15
258,2023-07-10T18:23:13+00:00,Nova hair dryer,242.9,50.0,0.88,0.61,131.1,0.17
259,2023-07-10T18:23:15+00:00,Orpat Cordless kettle,242.8,50.0,0.04,0.05,0.5,0.15
260,2023-07-10T18:23:15+00:00,Nova hair dryer,242.9,50.0,0.88,0.61,131.1,0.18
